"","fall_type","name","stream_name","verifiedx","verifiedy","tallest_drop_feet","number_of_drops","source_dataset","source_date","total_height_feet","source_url"
"112","block","Rouse Falls","Rouse Creek",-90.47779713,46.3681483909421,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"113","rapids","Sand Portage Falls","Menominee River",-87.9645817538888,45.7598619305084,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"114",NA,"Shale Falls","Bois Brule River",-91.60023751,46.6909983609415,NA,NA,NA,NA,NA,NA
"115","horsetail","Skillet Falls","Skillet Creek",-89.77169655,43.4470379909419,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"116","fan","Snake Pit Falls","Amnicon River",-91.8955760917179,46.611179074207,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"117",NA,"Snow Falls","Snow Falls Creek",-88.4479294078291,45.2661425244822,NA,NA,NA,NA,NA,NA
"118",NA,"Spirit Falls","Spirit River",-89.97660686,45.4523982909431,NA,NA,NA,NA,NA,NA
"119","rapids","Spring Camp Falls","West Fork Montreal River",-90.24583706,46.3343884009421,20,1,"World Waterfall Database",2014-01-14,NA,NA
"120","cascade","Smalley Falls","North Branch Pemebonwon River",-87.9458142924333,45.6950503673354,NA,NA,NA,NA,NA,NA
"121","horsetail","Stephens Falls",NA,-90.1293066,43.0275179009411,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"122","rapids","Five Foot Falls","Peshtigo River",-88.31644635,45.4058383909431,5,1,"World Waterfall Database",2014-01-14,NA,NA
"123","block","Sullivan Falls","Wolf River",-88.65925641,45.0527883109432,7,1,"World Waterfall Database",2014-01-14,NA,NA
"124","rapids","Three Foot Falls","Thunder River",-88.2078663,45.2675283709432,3,1,"World Waterfall Database",2014-01-14,NA,NA
"125","cascade","Twelvefoot Falls","North Branch Pike River",-88.13443632,45.580868420943,12,1,"World Waterfall Database",2014-01-14,NA,NA
"126","tiered","Chicago Falls","La Salle Canyon Creek",-88.97109609,41.3111976809356,NA,2,"World Waterfall Database",2014-01-14,NA,NA
"127","tiered","Giants Bathtub Falls","Deer Park Creek",-89.0243661,41.2981576809356,NA,2,"World Waterfall Database",2014-01-14,NA,NA
"128","tiered","Horseshoe Falls",NA,-88.93050607,41.3045076809356,NA,2,"World Waterfall Database",2014-01-14,NA,NA
"129","tiered","Crowe Falls",NA,-85.46420484,38.7112073909209,NA,2,"World Waterfall Database",2014-01-14,NA,NA
"130","tiered","Hindostan Falls","East Fork White River",-86.8500352299999,38.62307731,NA,2,"World Waterfall Database",2014-01-14,NA,NA
"131","tiered","Upper Cataract Falls","Mill Creek",-86.81327348,39.4348094609258,NA,2,"World Waterfall Database",2014-01-14,NA,NA
"132","tiered","Arikaree Falls",NA,-100.3159194,42.8878371909408,63,2,"World Waterfall Database",2014-01-14,NA,NA
"133","tiered","Arrowhead Falls",NA,-100.4000094,42.9074071909408,NA,NA,NA,NA,NA,NA
"134","tiered","Lower Smith Falls",NA,-100.3160994,42.8891271909408,NA,2,"World Waterfall Database",2014-01-14,NA,NA
"135","tiered","Amnicon Falls","Amnicon River",-91.89034759,46.6094883209417,30,NA,"World Waterfall Database",2014-01-14,NA,NA
"136","tiered","Dells of the Eau Claire, The","Eau Claire River",-89.33851661,45.0046682609432,10,2,"World Waterfall Database",2014-01-14,NA,NA
"137","tiered","Gile Falls","West Fork Montreal River",-90.2269395779346,46.43016629529,10,NA,"World Waterfall Database",2014-01-14,NA,NA
"138","tiered","Houghton Falls",NA,-90.85709729,46.69326841,NA,NA,NA,NA,NA,NA
"139","tiered","Long Slide Falls","North Branch Pemebonwon River",-87.93272627,45.6828584509429,NA,NA,NA,NA,NA,NA
"140","tiered","Morgan Falls","Morgan Creek",-90.91624726,46.3472083509421,64,2,"World Waterfall Database",2014-01-14,NA,NA
"141","tiered","Potato River Falls","Potato River",-90.5302469,46.4615609909419,30,4,"World Waterfall Database",2014-01-14,NA,NA
"142","tiered","Siskiwit Falls","Siskiwit River",-91.09349739,46.8558284109412,NA,NA,NA,NA,NA,NA
"143","tiered","Strong Falls","Peshtigo River",-88.34019637,45.518058400943,NA,NA,NA,NA,NA,NA
"144","tiered","Upson Falls","Potato River",-90.41503712,46.382718390942,9,2,"World Waterfall Database",2014-01-14,NA,NA
"145","tiered","Willow Falls","Willow River",-92.67477759,45.0197980400001,NA,4,"World Waterfall Database",2014-01-14,NA,NA
"146","slide","Veterans Falls","Thunder River",-88.2135063,45.2676983709432,NA,NA,NA,NA,NA,NA
"147","rapids","Washburn Falls","Popple River",-88.36510642,45.8115284409428,NA,NA,NA,NA,NA,NA
"148",NA,"Wayka Falls","West Branch",-88.6535105,44.9303874209432,NA,NA,NA,NA,NA,NA
"149","plunge","Wequiock Falls",NA,-87.87921612,44.5683682809431,25,1,"World Waterfall Database",2014-01-14,NA,NA
"150","block","West Twin River Falls","West Twin River",-87.77388605,44.28885824,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"151","rapids","Willow Falls","Willow River",-89.9639907786588,45.7002705022333,NA,NA,NA,NA,NA,NA
"152","punchbowl","Wren Falls","Tyler Forks River",-90.50687714,46.397758390942,15,1,"World Waterfall Database",2014-01-14,NA,NA
"153",NA,"Caps Creek Falls","Caps Creek",-87.97412637,46.3310685509421,NA,NA,NA,2020-03-21,NA,"https://www.worldwaterfalldatabase.com/waterfall/Caps-Creek-Falls-13108"
"154","punchbowl","Carpenter Creek Falls","Carpenter Creek",-85.97281579,46.6660987209415,10,1,NA,2020-03-21,10,"https://www.worldwaterfalldatabase.com/waterfall/Carpenter-Creek-Falls-13109"
"155","tiered","Cedar Falls","Cedar Creek",-87.95159643,46.8172986209412,NA,NA,NA,2020-03-21,NA,"https://www.waterfallsofthekeweenaw.com/cedar-creek/cedar-falls/"
"156","slide","Chapel Beach Falls","Chapel Creek",-86.43908592,46.5480886809418,10,1,NA,2020-03-21,10,"https://www.worldwaterfalldatabase.com/waterfall/Chapel-Beach-Falls-13114"
"157","tiered","Chicagon Falls","Chicagon Slough",-88.45354649,46.1336084909424,23,2,NA,2020-03-21,20,"https://www.worldwaterfalldatabase.com/waterfall/Chicagon-Falls-13116"
"158","plunge","Chipmunk Falls","Chipmunk Creek",-85.95549579,46.6694587309415,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"159","slide","Cole Creek Falls","Cole Creek",-86.81610602,46.398688630942,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"160","horsetail","Copper Adit Falls","Owl Creek",-88.19627659,47.4374187009397,NA,NA,NA,2020-03-21,NA,"https://www.waterfallsofthekeweenaw.com/owl-creek/copper-adit-falls/"
"161","tiered","Eister Falls","Eister Creek",-88.13294656,47.3663886909399,10,8,NA,2020-03-21,NA,"https://www.waterfallsofthekeweenaw.com/eister-creek/eister-falls/"
"162","block","Lower Letherby Falls (Erics Falls)","West Branch Huron River",-88.08703647,46.8076286100001,NA,NA,NA,2020-03-21,NA,"https://www.worldwaterfalldatabase.com/waterfall/Lower-Letherby-Falls-13202"
"163","cascade","Explorers Falls","Little Carp River",-89.88700701,46.7355784809414,NA,NA,NA,2020-03-21,12,"https://www.worldwaterfalldatabase.com/waterfall/Explorers-Falls-13138"
"164","segmented","Great Conglomerate Falls","Black River",-90.05479943,46.6319437909416,30,1,NA,2020-03-21,30,"https://www.worldwaterfalldatabase.com/waterfall/Great-Conglomerate-Falls-13152"
"165","cascade","Eagle River Falls","Eagle River",-88.29638662,47.4118286909398,60,1,NA,2020-03-21,60,"https://www.worldwaterfalldatabase.com/waterfall/Eagle-River-Falls-13132"
"166","horsetail","Gleason Creek Falls","Gleason Creek",-89.33578683,46.6708385109415,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"167","horsetail","Gorge Falls","Black River",-90.05031704,46.6402884609416,24,1,NA,2020-03-21,24,"https://www.worldwaterfalldatabase.com/waterfall/Gorge-Falls-13150"
"168","block","Haymeadows Falls","Haymeadow Creek",-86.8561375292195,46.0258407902776,3,1,NA,2020-03-21,3,"https://www.worldwaterfalldatabase.com/waterfall/Haymeadow-Falls-13156"
"169","cascade","Haypress Falls","Peshekee River",-88.11775646,46.6768685909415,NA,NA,NA,2020-03-21,NA,"https://www.worldwaterfalldatabase.com/waterfall/Haypress-Falls-13157"
"170","tiered","Hidden Falls","Cascade Creek",-89.5730969,46.6450884909416,NA,2,"World Waterfall Database",2014-01-14,NA,NA
"171","fan","Hogger Falls","West Branch Sturgeon River",-88.80609834,46.7235837109414,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"172","tiered","Holeyoke Falls","Holyoke Creek",-87.49687626,46.5773286209417,4,15,NA,2020-03-21,NA,"https://www.waterfallsofthekeweenaw.com/holyoke-creek/holyoke-falls/"
"173",NA,"Hunters Brook Falls","Hunters Brook",-87.21850609,45.9477085409426,NA,NA,NA,NA,NA,NA
"174","slide","Iagoo Falls","Presque Isle River",-89.94153701,46.6622484700001,6,1,NA,2020-03-21,6,"https://www.worldwaterfalldatabase.com/waterfall/Iagoo-Falls-13170"
"175","block","Judson Falls","Slate River",-89.56148686,46.389548450942,25,1,NA,2020-03-21,25,"https://www.worldwaterfalldatabase.com/waterfall/Judson-Falls-13174"
"176","block","Jumbo Falls","Jumbo River",-88.91325667,46.4517385009419,4,1,NA,2020-03-21,4,"https://www.worldwaterfalldatabase.com/waterfall/Jumbo-Falls-13175"
"177","horsetail","Haven Falls","Haven Creek",-88.02957653,47.3821887,38,1,NA,2020-03-21,38,"https://www.worldwaterfalldatabase.com/waterfall/Haven-Falls-13155"
"178","horsetail","Jasper Falls",NA,-86.57930596,46.4695086609419,125,1,NA,2020-03-21,125,"https://www.worldwaterfalldatabase.com/waterfall/Jasper-Falls-13173"
"179","tiered","Little Garlic Falls","Little Garlic River",-87.57868629,46.6678186209415,NA,2,"World Waterfall Database",2014-01-14,NA,NA
"180","fan","Little Trap Falls","Anderson Creek",-89.5567569,46.6903185009415,40,1,NA,2020-03-21,40,"https://www.worldwaterfalldatabase.com/waterfall/Little-Trap-Falls-13189"
"181",NA,"Little Union Falls",NA,-89.62509694,46.7928885109413,NA,2,"World Waterfall Database",2014-01-14,NA,NA
"182","cascade","Lower Cliff Falls","Cliff River",-87.97207644,46.8395686209412,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"183",NA,"Lower Canyon Falls","Carp River",-88.4822267637048,46.6210821555392,NA,NA,"World Waterfall Database",2014-01-14,NA,NA
"184","cascade","Lower Gratiot Falls","Gratiot River",-88.43462665,47.33047866,NA,NA,"World Waterfall Database",2014-01-14,40,NA
"185","cascade","Laughing Whitefish Falls","Laughing Whitefish River",-87.0691960999999,46.38384861,NA,1,NA,2020-03-21,100,"https://www.worldwaterfalldatabase.com/waterfall/Laughing-Whitefish-Falls-13179"
"186","cascade","Lepisto Falls","Presque Isle River",-89.94057701,46.65860847,NA,1,NA,2020-03-21,NA,"https://www.worldwaterfalldatabase.com/waterfall/Lepisto-Falls-13180"
"187","cascade","Little Iron Falls","Little Iron River",-89.73034696,46.7491284909414,NA,1,NA,2020-03-21,NA,"https://www.worldwaterfalldatabase.com/waterfall/Little-Iron-Falls-13186"
"188","fan","Lower Hungarian Falls","Dover Creek",-88.44684663,47.1716286409404,50,1,NA,2020-03-21,50,"https://www.worldwaterfalldatabase.com/waterfall/Lower-Hungarian-Falls-13201"
"189","block","Lower Penn Falls","East Branch Firesteel River",-88.96082674,46.8257885609412,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"190","plunge","Lower Plover Falls","Plover Creek",-89.17228305,46.69639069,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"191","block","Lower Yellow Dog Falls","Yellow Dog River",-87.6940871865576,46.7345051029213,NA,NA,"World Waterfall Database",2014-01-14,NA,NA
"192","block","Manabezho Falls","Presque Isle River",-89.97160703,46.7073184700001,20,1,NA,2020-03-21,20,"https://www.worldwaterfalldatabase.com/waterfall/Manabezho-Falls-13206"
"193","slide","Manakiki Falls","Maple Creek",-90.11237706,46.6412384509416,25,1,NA,2020-03-21,25,"https://www.worldwaterfalldatabase.com/waterfall/Manakiki-Falls-13207"
"194","cascade","Manido Falls","Presque Isle River",-89.97048703,46.7050084700001,NA,NA,NA,2020-03-21,25,"https://www.worldwaterfalldatabase.com/waterfall/Manido-Falls-13209"
"195","cascade","Margeson Falls","Margeson Creek",-88.24155644,46.2244385109423,NA,NA,"World Waterfall Database",2014-01-14,NA,NA
"196","cascade","Marshall Falls","Marshall Creek",-89.57406687,46.416598460942,10,1,"World Waterfall Database",2014-01-14,10,NA
"197","cascade","Middle Falls","Salmon Trout River",-87.82870639,46.8117486309412,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"198","horsetail","Middle Montreal Falls","Montreal River",-87.8355584166292,47.3955925652417,NA,1,"World Waterfall Database",2014-01-14,NA,NA
"199","horsetail","Middle Hungarian Falls","Dover Creek",-88.44771663,47.1720986409404,20,1,NA,2020-03-21,20,"https://www.worldwaterfalldatabase.com/waterfall/Middle-Hungarian-Falls-13218"
"200","segmented","Minnewawa Falls","Presque Isle River",-89.84876698,46.5974384609417,NA,NA,"World Waterfall Database",2014-01-14,NA,NA
"201","block","Mishicot Falls","Menominee River",-87.94910629,45.7577784609429,8,1,"World Waterfall Database",2014-01-14,8,NA
"202","plunge","Memorial Falls (MNA)",NA,-86.62759597,46.417858650942,40,1,NA,2020-03-21,40,"https://www.worldwaterfalldatabase.com/waterfall/Memorial-Falls-13225"
"203","fan","Interstate Falls (Montreal Falls)","Montreal River",-90.19882706,46.4746484209419,25,1,"World Waterfall Database",2014-01-14,25,NA
"204","block","Morgan Meadows Falls","Morgan Creek",-87.47194624,46.5229486109418,6,1,NA,2020-03-21,6,"https://www.worldwaterfalldatabase.com/waterfall/Morgan-Meadows-Falls-13228"
