anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,word
0,0,0,0,0,0,0,1,0,0,assure
0,0,0,0,0,0,0,1,0,1,assured
0,0,0,0,0,0,0,0,0,1,athlete
0,0,0,0,0,0,0,0,0,1,athletic
0,0,0,0,0,0,0,0,0,1,attachment
1,0,0,1,0,0,0,0,1,0,attack
1,0,1,1,0,1,1,0,1,0,attacking
0,1,0,0,0,0,0,0,0,0,attempt
0,0,0,0,0,0,0,0,0,1,attention
0,0,0,0,0,0,0,0,0,1,attraction
0,1,0,0,0,0,0,0,0,0,auction
0,0,0,1,0,0,0,1,0,0,auditor
0,0,0,0,0,0,0,0,0,1,august
0,0,0,0,0,0,0,1,0,1,aunt
0,0,0,0,0,0,0,1,0,1,authority
0,0,1,1,0,1,0,0,1,0,autopsy
0,0,0,1,0,0,0,0,1,0,avoid
0,0,0,1,0,0,0,0,1,0,avoidance
0,0,0,1,0,0,0,0,0,0,avoiding
0,1,0,0,1,0,1,1,0,1,award
1,0,1,1,0,1,0,0,1,0,awful
0,0,1,0,0,0,0,0,1,0,awkwardness
0,0,0,0,1,0,0,0,0,1,baby
0,0,0,0,0,0,0,1,0,0,babysitter
0,0,0,0,0,0,0,0,1,0,backward
0,0,1,0,0,0,0,0,1,0,backwards
1,0,1,1,0,1,0,0,1,0,bad
0,0,0,0,0,1,0,0,1,0,badly
0,0,0,0,0,0,0,0,0,1,ballet
0,0,0,0,0,0,0,0,1,0,ban
1,0,1,1,0,1,1,0,1,0,bang
1,1,0,1,0,0,1,0,1,0,banger
0,0,0,0,0,0,0,1,0,0,bank
0,0,0,0,0,0,0,1,0,0,banker
0,0,0,1,0,1,0,0,1,0,bankrupt
1,0,1,1,0,1,0,0,1,0,bankruptcy
0,0,0,0,0,0,0,0,0,1,baptism
0,0,0,0,0,0,0,1,0,1,bargain
1,0,0,0,0,0,0,0,1,0,barrier
0,1,0,0,1,0,0,0,0,1,basketball
0,0,1,0,0,1,0,0,1,0,bastard
0,0,0,0,0,0,0,0,0,1,bath
1,0,0,0,0,0,0,0,1,0,battle
1,0,0,1,0,1,0,0,1,0,battled
0,0,0,1,0,0,0,0,1,0,battlefield
0,0,0,0,1,0,0,0,0,0,beach
1,0,0,1,0,1,0,0,1,0,beating
0,0,0,0,1,0,0,0,0,1,beautiful
0,0,0,0,1,0,0,0,0,1,beauty
0,0,0,0,1,0,0,0,0,1,beer
0,0,0,0,0,1,0,0,1,0,beg
0,0,0,0,0,0,0,0,1,0,begging
0,1,0,0,0,0,0,0,0,0,begun
0,0,0,0,0,0,0,1,0,0,believed
0,0,0,0,0,0,0,1,0,1,believing
0,0,0,0,0,0,0,0,0,1,beneficial
0,0,0,0,0,0,0,0,0,1,benefit
0,0,0,0,0,1,0,0,1,0,bereaved
0,0,0,0,0,1,0,0,1,0,bereavement
0,1,0,1,0,0,0,0,1,0,beware
0,0,0,0,0,0,0,0,0,1,biblical
0,1,0,1,1,0,0,1,0,1,birth
0,1,0,0,1,0,1,0,0,1,birthday
1,0,1,1,0,1,0,0,1,0,bitch
1,0,1,0,0,1,0,0,1,0,bitterly
1,0,1,0,0,1,0,0,1,0,bitterness
0,0,0,0,0,1,0,0,1,0,black
0,0,0,0,0,0,0,0,1,0,blackjack
1,0,1,0,0,0,0,0,1,0,blame
1,0,1,0,0,0,0,0,1,0,blatant
0,0,1,1,0,1,0,0,1,0,bleeding
0,1,0,0,1,0,0,1,0,1,bless
0,0,0,0,1,0,0,0,0,1,blessed
0,1,0,0,1,0,0,1,0,1,blessing
0,1,0,0,1,0,1,1,0,1,blessings
0,0,0,0,0,0,0,0,1,0,blind
0,0,0,0,0,0,0,0,1,0,blinded
0,1,0,1,0,0,1,0,0,0,blindfold
0,0,0,0,0,1,0,0,1,0,blindly
0,0,0,0,0,1,0,0,1,0,blindness
0,0,0,0,1,0,0,0,0,1,bliss
0,0,0,0,1,0,0,0,0,1,blissful
1,0,1,1,0,1,0,0,1,0,bloody
0,0,0,0,0,1,0,0,0,0,blue
0,0,0,1,0,1,0,0,1,0,blues
0,0,0,0,0,0,0,0,1,0,blur
0,0,0,0,0,0,0,0,1,0,blurred
0,0,0,0,0,0,0,1,0,1,bodyguard
0,0,1,0,0,0,0,0,1,0,boil
0,0,0,0,0,0,0,0,0,1,bold
0,1,0,0,1,0,1,0,0,1,bonus
0,0,0,0,0,0,0,0,1,0,boo
0,0,0,0,0,0,0,0,1,0,booby
0,0,0,0,0,0,0,0,0,1,bookshop
0,1,0,0,0,0,0,1,0,0,boomerang
0,0,0,0,0,0,0,0,1,0,booze
0,0,0,0,0,0,0,0,1,0,bore
0,0,0,0,0,1,0,0,1,0,boredom
0,0,0,0,0,0,0,0,1,0,boring
0,0,0,0,0,0,0,0,1,0,bother
1,0,0,0,0,1,0,0,1,0,bothering
0,0,0,0,0,1,0,0,1,0,bottom
0,0,0,1,0,0,0,0,0,0,bottomless
0,0,0,0,0,0,0,0,1,0,bound
0,0,1,0,0,0,0,0,0,0,bowels
0,0,1,0,0,0,0,0,1,0,boy
0,0,0,0,0,0,0,0,0,1,brains
0,0,0,0,0,0,0,0,0,1,bravery
0,0,0,0,0,0,1,0,0,0,break
0,0,0,0,0,0,0,0,0,1,breakfast
0,0,0,0,0,1,0,0,1,0,breakup
0,1,0,0,1,0,0,1,0,1,bride
0,0,0,0,1,0,0,1,0,1,bridesmaid
0,0,0,0,1,0,1,1,0,1,brighten
0,0,0,0,0,0,0,0,0,1,brightness
0,1,0,0,1,0,0,1,0,1,brilliant
0,0,0,1,0,1,0,0,1,0,broke
1,0,0,1,0,1,0,0,1,0,broken
0,0,0,0,0,0,0,1,0,1,brother
0,0,0,0,0,0,0,1,0,1,brotherhood
1,0,0,1,0,0,0,0,1,0,brutal
1,0,0,1,0,0,0,0,1,0,brutality
0,0,0,1,0,0,1,0,1,1,buck
0,1,0,0,1,0,0,1,0,1,buddy
0,0,0,0,0,0,0,1,0,0,budget
0,0,0,0,0,0,0,0,0,1,building
1,0,0,1,0,0,0,0,1,0,bully
0,0,1,0,0,1,0,0,1,0,bum
1,0,0,1,0,1,0,0,1,0,burial
0,0,0,1,0,1,0,0,1,0,buried
0,0,1,0,0,0,0,0,1,0,burnt
0,0,0,0,0,1,0,0,0,0,bury
0,0,0,0,0,0,0,0,1,0,butt
0,0,0,0,0,0,0,0,0,1,buttery
0,1,0,0,0,0,0,0,0,0,bye
0,0,0,0,0,0,0,0,0,1,cafe
0,0,0,0,0,0,0,0,0,1,café
0,1,0,0,0,0,0,1,1,0,calls
0,0,0,0,0,0,0,0,0,1,calm
1,0,0,1,0,0,0,0,1,0,campaigning
1,0,1,1,0,1,0,0,1,0,cancer
0,0,0,0,0,0,0,0,0,1,captain
0,1,0,0,0,0,0,0,0,1,career
0,0,0,0,0,0,0,0,0,1,careful
0,0,0,0,0,0,0,0,0,1,carefully
0,0,0,0,0,0,0,0,0,1,caress
1,1,0,1,1,0,0,1,0,1,cash
0,0,0,0,0,0,0,1,0,0,cashier
1,0,0,1,0,1,0,0,1,0,casualty
0,0,0,0,0,0,1,0,0,0,catch
1,1,0,1,0,0,0,0,1,0,caution
0,1,0,1,0,0,0,1,0,1,cautious
0,1,0,0,1,0,0,0,0,1,celebrated
0,1,0,0,1,0,0,0,0,1,celebrating
0,1,0,0,1,0,1,1,0,1,celebration
1,1,1,0,1,0,1,1,1,1,celebrity
0,0,0,1,0,1,0,0,1,0,cemetery
0,0,0,0,0,0,0,1,0,1,center
0,0,0,0,0,0,0,0,0,1,certainty
0,0,0,0,0,0,0,1,0,1,chairman
1,0,0,1,0,0,0,0,1,0,challenge
0,1,0,0,1,0,0,1,0,1,champion
0,0,0,0,0,0,1,0,0,0,chance
0,0,0,1,0,0,0,0,0,0,change
0,1,0,0,1,0,0,1,0,1,charitable
0,0,0,0,1,0,0,0,0,1,charity
0,0,0,0,0,0,0,0,0,1,charm
0,0,0,0,1,0,0,0,1,1,charmed
0,0,0,0,0,0,0,0,0,1,charming
0,0,0,0,0,0,0,0,1,0,chatty
0,0,0,0,0,0,0,0,1,0,cheap
1,0,1,0,0,0,0,0,1,0,cheat
0,1,0,0,1,0,1,1,0,1,cheer
0,0,0,0,1,0,1,0,0,1,cheerful
0,0,0,0,1,0,0,0,0,1,cheering
0,1,0,0,1,0,0,0,0,1,cheery
0,0,0,0,0,0,0,0,1,0,cheesecake
0,1,0,0,1,0,1,1,0,1,cherish
0,1,0,0,1,0,0,0,0,1,child
0,0,0,0,1,0,0,0,0,1,childhood
0,0,0,0,0,0,0,0,1,0,chilly
0,1,0,0,1,0,0,1,0,1,chocolate
0,0,0,0,0,0,0,0,0,1,choice
0,0,0,0,1,0,0,1,0,1,choir
1,0,0,0,0,1,0,0,1,0,choke
0,0,0,0,0,0,0,0,1,0,chore
0,0,0,0,0,0,0,0,0,1,chorus
0,0,0,0,0,0,0,0,0,1,chowder
0,0,0,0,0,1,0,0,1,0,chronic
0,0,0,0,0,0,0,1,0,1,chronicle
0,1,0,0,1,0,1,1,0,1,chuckle
0,1,0,0,1,0,0,1,0,1,church
0,0,0,0,0,0,0,0,1,0,cigarette
0,0,0,0,0,0,0,0,0,1,citizen
0,1,0,0,1,0,0,1,0,1,clap
0,0,0,0,0,0,0,0,0,1,clarify
0,0,0,0,0,0,0,0,0,1,classic
0,0,0,0,1,0,0,1,0,1,clean
0,0,0,0,0,0,0,0,0,1,cleaning
0,0,0,0,0,0,0,0,0,1,cleanse
0,0,0,0,0,0,0,0,0,1,cleansing
0,0,0,0,0,0,0,0,0,1,clever
0,1,0,0,1,0,1,1,0,1,climax
0,1,0,0,0,0,0,0,0,0,clock
0,1,0,0,1,1,0,0,0,1,closure
0,1,0,0,0,0,0,0,0,0,clue
0,0,0,0,0,0,0,1,0,0,coach
0,0,0,0,0,1,0,0,1,0,cocaine
0,0,0,1,0,1,0,0,1,0,coffin
0,0,0,0,0,0,0,0,1,0,cold
1,0,1,1,0,1,0,0,1,0,coldness
0,0,0,1,0,1,0,0,1,0,coma
0,1,0,0,1,0,0,1,0,1,comfort
0,1,0,0,0,0,0,0,0,0,coming
0,0,0,0,0,0,0,0,0,1,commentator
0,0,0,0,0,0,0,1,0,0,commerce
0,0,0,0,0,0,0,1,0,1,committed
0,0,0,0,0,0,0,1,0,0,committee
0,0,0,0,0,0,0,1,0,1,communicate
0,0,0,0,0,0,0,1,0,0,communication
0,0,0,0,1,0,0,1,0,1,communion
1,0,0,1,0,1,0,0,1,0,communism
0,0,0,0,0,0,0,0,1,0,communist
0,0,0,0,0,0,0,0,0,1,community
0,0,0,0,0,0,0,0,0,1,commute
0,0,0,0,1,0,0,1,0,1,companion
0,0,0,1,0,0,0,0,0,1,compassion
0,0,0,0,0,0,0,0,0,1,compassionate
0,0,0,0,0,0,0,0,0,1,compelling
0,1,0,0,1,0,1,1,0,1,compensate
0,0,0,0,0,0,0,1,0,1,competent
0,1,0,0,0,0,0,0,1,0,competition
1,0,0,0,0,1,0,0,1,0,complain
1,0,0,0,0,0,0,0,1,0,complaint
0,0,0,0,0,0,0,0,0,1,completely
0,0,0,0,0,0,0,0,1,0,complexity
0,0,0,0,0,0,0,1,0,1,compliance
0,0,0,0,0,0,0,0,1,0,complicated
0,1,0,0,1,0,1,1,0,1,compliment
0,0,0,0,0,0,0,0,0,1,comprehend
0,0,0,0,0,0,0,0,0,1,comprehensive
0,0,0,0,0,0,0,1,0,1,comrade
0,0,0,1,0,1,0,0,0,0,concerned
1,0,0,0,0,0,0,0,1,0,condemn
0,0,0,0,0,0,0,1,1,1,confess
0,1,0,1,0,1,1,0,1,0,confession
0,0,0,1,1,0,0,1,0,1,confidence
0,0,0,0,1,0,0,1,0,1,confident
1,0,1,1,0,1,0,0,1,0,confined
1,0,0,1,0,1,0,0,1,0,conflict
0,0,0,0,0,0,0,0,1,0,conflicting
1,0,0,0,0,0,0,0,0,0,confront
0,0,0,0,0,0,0,0,1,0,confuse
1,0,0,1,0,0,0,0,1,0,confusion
0,0,0,0,0,0,0,0,1,0,congestion
0,0,1,0,0,0,0,1,0,0,congress
0,0,0,0,0,0,0,0,0,1,consciousness
0,1,0,0,0,0,0,1,0,1,conservation
0,0,0,0,0,0,0,1,0,1,considerate
0,0,0,0,0,0,0,1,0,1,constant
0,0,0,0,0,0,0,1,0,0,constantly
0,0,1,0,0,0,0,0,1,0,constipation
0,0,0,0,0,0,0,1,0,0,consult
0,0,0,0,0,0,0,0,0,1,contact
0,1,1,1,0,0,0,0,1,0,contagion
0,0,1,1,0,0,0,0,1,0,contagious
1,0,1,1,0,0,0,0,1,0,contempt
0,1,0,0,0,0,0,0,0,0,continuation
0,1,0,0,0,0,0,1,0,1,continue
1,0,0,0,0,0,0,0,1,0,contradict
0,0,0,0,0,0,0,0,1,0,contradiction
0,0,0,0,0,0,0,0,1,0,contradictory
0,1,0,0,0,0,0,1,0,1,convince
0,0,0,0,0,0,0,1,0,0,convinced
0,0,0,0,0,0,0,1,0,0,convincing
0,0,0,0,0,0,0,0,0,1,cool
0,0,0,0,0,0,0,1,0,1,cooperation
0,0,0,1,0,0,0,1,0,0,cop
0,0,0,0,0,0,0,0,1,0,coroner
0,0,0,0,0,0,0,1,0,1,corporation
0,0,1,0,0,1,0,0,1,0,corpse
0,0,0,0,0,0,0,0,1,0,correction
0,0,0,0,0,1,0,0,0,0,couch
0,0,1,0,0,0,0,0,1,0,cough
0,1,0,0,0,0,0,1,0,1,council
1,0,0,1,0,0,0,1,1,0,counsellor
1,0,0,0,0,0,1,0,0,0,coup
0,0,0,0,0,0,0,0,0,1,courage
0,0,0,1,0,0,0,0,0,1,courageous
0,0,1,1,0,1,0,0,1,0,coward
0,0,0,1,0,0,0,0,1,0,cowardly
0,0,0,0,0,0,0,0,1,0,crack
0,1,0,0,0,0,0,0,1,0,cramp
0,0,0,0,0,0,0,0,1,0,cramped
0,0,1,0,0,0,0,0,1,0,crap
0,1,0,0,0,0,0,0,0,0,crave
0,1,0,0,0,0,0,0,0,0,craving
0,0,1,0,0,0,0,0,1,0,crawl
1,0,0,1,0,0,0,0,1,0,crazed
1,0,0,1,0,1,0,0,1,0,crazy
0,1,0,0,1,0,1,0,0,1,cream
0,0,0,0,1,0,0,0,0,1,create
0,0,0,0,0,0,0,0,0,1,creative
0,0,0,0,0,0,0,1,0,1,credit
0,0,0,0,0,0,0,0,0,1,credited
1,0,1,1,0,0,0,0,1,0,criminal
0,0,0,0,0,0,0,0,1,0,crisis
0,0,0,0,0,0,0,1,1,0,crisp
1,0,0,0,0,1,0,0,1,0,criticism
1,0,1,1,0,1,0,0,1,0,criticize
0,0,0,0,0,0,0,0,1,0,crook
1,0,0,1,0,1,0,0,1,0,cross
0,0,1,0,0,0,0,0,1,0,crude
1,0,1,1,0,1,0,0,1,0,cruel
1,0,1,1,0,1,0,0,1,0,cruelty
1,0,0,1,0,0,0,0,1,0,crusade
1,0,1,1,0,1,0,0,1,0,crushed
1,0,1,1,0,0,0,0,1,0,crushing
0,0,0,0,0,1,0,0,1,0,cry
0,0,0,0,0,1,0,0,1,0,crying
0,0,0,1,0,1,0,0,1,0,crypt
0,0,0,0,1,0,0,1,0,1,cuddle
0,0,0,0,0,0,0,0,0,1,culture
0,1,0,0,0,0,1,0,0,1,curiosity
1,0,1,1,0,1,0,0,1,0,curse
0,0,0,0,0,0,0,0,0,1,customer
0,0,0,0,0,0,0,0,0,1,cute
0,0,1,0,0,0,0,0,0,0,cystic
0,1,0,0,0,0,0,0,0,0,daily
1,0,1,0,0,1,0,0,1,0,damage
0,0,0,0,0,1,0,0,1,0,damages
1,0,1,0,0,0,0,1,0,1,dame
1,0,1,0,0,0,0,0,1,0,damn
1,0,0,1,0,1,0,0,1,0,damnation
0,0,0,0,0,0,0,0,1,0,damned
0,0,0,0,1,0,0,1,0,1,dance
0,0,0,1,0,1,0,0,1,0,danger
0,0,0,1,0,0,0,0,1,0,dangerous
0,0,1,0,0,0,0,0,0,0,dank
0,1,0,0,0,0,0,1,0,0,dare
0,0,0,0,0,0,0,0,0,1,daring
0,0,0,0,0,1,0,0,0,0,dark
1,0,0,1,0,1,0,0,1,0,darkness
0,0,0,0,1,0,0,1,0,1,darling
0,0,0,0,1,0,0,0,0,1,daughter
0,0,0,0,0,0,0,0,1,0,dazed
0,0,0,0,0,0,0,0,1,0,deaf
0,1,0,0,1,0,1,1,0,1,deal
0,0,0,0,0,0,0,0,0,1,dear
1,1,1,1,0,1,1,0,1,0,death
0,0,0,0,0,0,0,0,0,1,debate
0,0,0,0,0,1,0,0,1,0,debt
0,0,0,1,0,1,0,0,1,0,decay
0,0,0,0,0,1,0,0,1,0,deceased
1,0,1,0,0,1,0,0,1,0,deceive
0,0,0,0,0,0,0,1,1,0,deceiving
0,0,0,0,0,0,0,0,0,1,decent
0,0,0,0,0,0,0,0,1,0,defeat
0,0,0,0,0,1,0,0,1,0,defeated
1,0,0,0,0,0,0,0,1,0,defect
0,0,0,1,0,0,0,0,0,1,defend
0,0,0,0,0,0,0,1,0,1,defended
0,0,0,0,0,0,0,1,0,1,defender
0,0,0,0,0,0,0,0,0,1,defending
1,1,0,1,0,0,0,0,0,1,defense
0,0,0,0,0,0,0,1,0,1,definitive
0,0,1,1,0,1,0,0,1,0,degrading
1,0,1,1,0,1,0,0,1,0,delay
0,0,0,0,0,0,0,0,1,0,delayed
0,0,0,0,0,0,0,0,0,1,delectable
0,0,0,0,0,0,0,1,0,1,delegate
0,0,0,0,1,0,0,0,0,1,delicious
0,1,0,0,1,0,0,0,0,1,delight
0,1,0,0,1,0,1,0,0,1,delighted
0,1,0,0,1,0,0,1,0,1,delightful
0,1,0,0,0,0,0,0,0,1,delivery
1,0,0,0,0,0,0,0,1,0,demand
0,0,0,0,0,0,0,0,1,0,demanding
0,0,0,1,0,1,0,0,1,0,demise
1,0,1,1,0,1,0,0,1,0,demon
1,0,1,1,0,1,0,0,1,0,demonic
0,0,0,0,0,0,0,0,1,0,denial
0,0,0,0,0,1,0,0,1,0,denied
0,0,0,1,0,0,0,0,0,0,dentistry
1,0,0,0,0,0,0,0,1,0,deny
0,1,0,0,0,0,0,0,1,0,denying
0,1,0,0,0,1,0,0,0,0,depart
0,0,0,0,0,1,0,0,1,0,departed
0,0,0,0,0,1,0,0,1,0,departure
0,1,0,0,0,0,0,1,0,0,depend
0,0,0,0,0,0,0,1,1,1,dependent
0,0,0,1,0,1,0,0,1,0,depress
1,0,0,1,0,1,0,0,1,0,depressed
0,0,1,0,0,1,0,0,1,0,depressing
0,0,0,0,0,1,0,0,1,0,depression
0,0,0,0,0,1,0,0,1,0,depressive
1,0,1,1,0,1,0,0,1,0,deprivation
0,0,0,0,0,0,0,1,0,1,depth
0,0,0,0,0,0,0,0,0,1,desirable
1,0,1,1,0,1,0,0,1,0,despair
0,0,0,0,0,0,0,0,1,0,desperate
1,0,1,0,0,0,0,0,1,0,despise
0,1,0,1,1,1,1,0,0,1,destination
1,0,0,1,0,1,0,0,1,0,destroyed
1,0,0,1,0,0,0,0,1,0,destroyer
1,0,0,1,0,1,0,0,1,0,destroying
1,0,0,0,0,0,0,0,1,0,destruction
1,0,1,1,0,0,0,0,1,0,destructive
0,0,0,0,0,0,0,1,0,1,determination
0,0,0,0,0,0,0,0,0,1,determined
1,0,1,1,0,1,0,1,1,0,devastating
1,0,0,1,0,1,1,0,1,0,devastation
0,1,0,0,0,0,0,0,0,1,develop
1,1,1,1,0,1,0,0,1,0,devil
0,0,1,1,0,0,0,0,1,0,devilish
0,1,0,1,0,0,0,1,1,0,diagnosis
0,0,1,0,0,0,0,0,0,0,diarrhoea
0,0,0,0,1,0,0,1,0,1,diary
0,0,0,1,0,0,0,0,1,0,dictator
0,0,0,1,0,1,0,0,1,0,die
0,1,0,0,0,0,0,0,0,1,dietary
0,0,0,0,0,0,1,0,0,0,differently
0,0,0,1,0,0,0,0,0,0,difficult
0,0,0,0,0,1,0,0,1,0,difficulties
1,0,0,1,0,1,0,0,1,0,difficulty
0,0,0,0,0,0,0,0,0,1,dignified
0,0,0,0,0,0,0,1,0,1,dignity
0,0,0,0,0,0,0,0,0,1,dinner
0,1,0,0,0,0,0,1,0,1,diplomacy
0,0,0,0,0,0,0,1,0,1,diplomatic
0,0,0,0,0,0,0,1,0,1,director
0,0,1,0,0,0,0,0,1,0,dirty
1,0,0,0,0,0,0,0,1,0,disagree
1,0,0,0,0,1,0,0,1,0,disagreeing
1,0,0,0,0,1,0,0,1,0,disagreement
0,0,0,1,0,0,0,0,0,0,disappear
1,0,1,0,0,1,0,0,1,0,disappoint
1,0,1,0,0,1,0,0,1,0,disappointed
0,0,0,0,0,1,0,0,1,0,disappointing
0,0,1,0,0,1,0,0,1,0,disappointment
1,0,1,1,0,1,1,0,1,0,disaster
0,0,0,1,0,0,0,0,1,0,discipline
0,0,0,0,0,1,0,0,1,0,discomfort
0,0,0,0,0,0,0,0,0,1,discovery
0,0,0,0,0,0,0,0,0,1,discussion
1,0,1,1,0,1,0,0,1,0,disease
0,0,1,1,0,1,0,0,1,0,diseased
1,0,1,0,0,1,0,0,1,0,disgrace
1,0,1,0,0,0,0,0,1,0,disgraceful
1,0,1,1,0,1,0,0,1,0,disgust
1,0,1,1,0,0,0,0,1,0,disgusting
0,0,0,0,0,1,0,0,1,0,disheartened
1,0,1,0,0,0,0,0,1,0,dislike
1,0,0,0,0,1,0,0,1,0,disliked
1,1,0,1,0,1,1,0,1,0,dismay
0,0,0,0,0,0,0,0,1,0,disregard
0,0,0,0,0,0,0,0,0,1,distinction
0,0,0,0,0,0,0,0,1,0,distract
1,0,0,0,0,0,0,0,1,0,distracted
1,1,0,0,0,0,0,0,1,0,distracting
0,0,0,0,0,0,0,0,1,0,distraction
0,0,0,0,0,1,0,0,1,0,distraught
1,0,1,1,0,1,1,0,1,0,distress
0,0,0,1,0,0,0,0,1,0,distressed
1,0,0,1,0,0,0,0,1,0,distressing
