"X","state","country_code","shape","duration_seconds","summary","day_part","latitude","longitude","timezone","population","elevation_m","month","cyear"
109,"ENG","GB","disk",1,"Twin-disc 'pivoting' UFO observed to rapidly cross the skies of Slough, U.K., in 1977/ 1978.","night",51.50853,-0.12574,"Europe/London",8961989,395,1,"1960-1980"
110,"CA","US","disk",900,"Lost four to five hours","morning",33.8303,-116.54529,"America/Los_Angeles",47371,146,4,"1980-2000"
111,"WA","US","disk",90,"Slow speed with no attempt to cloak their presence or any apparant concern of being noticed.","morning",47.32232,-122.31262,"America/Los_Angeles",95171,141,8,"2000+"
112,"NY","US","disk",600,"Disk shaped UFO with continous changing color band in the middle.  Hoovered for a few minutes about 3 stories off the ground above a cr","afternoon",43.09867,-77.44194,"America/New_York",5351,150,10,"1960-1980"
113,"ENG","GB","disk",600,"My name is Wayne.  I am 43 years of age.  This event took place in 1997.  It has haunted me ever since.  My son was 9 years of age at t","afternoon",53.41058,-2.97794,"Europe/London",864122,46,6,"1980-2000"
114,"BC","CA","disk",120,"HBCCUFO CANADIAN REPORT:  Witness has encounter with two saucers.","morning",51.08309,-121.58597,"America/Vancouver",0,577,4,"2000+"
115,"CA","US","disk",900,"3 of us saw a copper disk w/ a black solid circle slowly moving in a small clockwise circle tipping on edge showing the top & bottom.","morning",32.71571,-117.16472,"America/Los_Angeles",1394928,20,7,"2000+"
116,"AU","AU","disk",120,"single object made up of two clusters of lights,visible only on video,no sound,at 3000/5000 feet travelling very fast","night",-27.46794,153.02809,"Australia/Brisbane",2582007,1,12,"1980-2000"
117,"NY","US","disk",300,"craft made no noise and leveled and lowered into field.","astronomical dusk",42.14285,-77.05469,"America/New_York",10897,284,8,"1960-1980"
118,"NY","US","disk",45,"1 hovering craft, followed by 2 others, disappearing in the blink of an eye","nautical dusk",40.68149,-73.83652,"America/New_York",2272771,12,8,"1960-1980"
119,"FL","US","disk",900,"WHILE DRIVING ONE NIGHT MY SON SPOTTED A SAUCER SHAPED OBJECT BRIGHT WHITE OUTLINED IT WAS MOVING FAST THEN STOPED.","night",25.77427,-80.19366,"America/New_York",441003,2,3,"2000+"
120,"CA","US","disk",86400,"Object was long, flat with white light on top moving from left to right hovering high the sky.","morning",34.05223,-118.24368,"America/Los_Angeles",3898747,89,6,"2000+"
121,"CA","US","disk",900,"We saw what we thought was an eclipsed moon, at first. Saucer craft remained motionless in the sky.","civil dusk",34.01223,-117.68894,"America/Los_Angeles",85595,222,9,"1980-2000"
122,"WA","US","disk",60,"Large low hovering disc.","morning",47.78815,-122.30874,"America/Los_Angeles",20989,140,10,"2000+"
123,"BC","CA","disk",30,"Six year old witness was sitting on front lawn enjoying sun. Opened eyes and turned head to see med grey disklike object hovering over","night",49.24966,-123.11934,"America/Vancouver",6e+05,21,6,"-1960"
124,"CA","US","disk",1800,"High alt. Excess of 30,000 ft. Creeping around slow. Looked like a tiny flickering star on blue sky.   ((anonymous report))","night",34.05223,-118.24368,"America/Los_Angeles",3898747,89,2,"2000+"
125,"WA","US","disk",900,"Disk hovered over highway","night",47.60621,-122.33207,"America/Los_Angeles",737015,56,9,"1980-2000"
126,"CA","US","disk",30,"Copper-colored metallic disc sighted over downtown Los Angeles","night",34.05223,-118.24368,"America/Los_Angeles",3898747,89,1,"2000+"
127,"CA","US","disk",840,"Three Brilliant UFOs of various shapes in close proximity to each other.","astronomical dusk",32.71571,-117.16472,"America/Los_Angeles",1394928,20,2,"2000+"
128,"CA","US","disk",300,"Round balls maybe guards.  Large silver disc. landing in the oilfield.","morning",35.50051,-119.27178,"America/Los_Angeles",18336,106,1,"2000+"
129,"CA","US","disk",240,"Bright light following chem.trail like a road, until wind revealed a very shiny sphere.","afternoon",32.74477,-116.99892,"America/Los_Angeles",28205,119,6,"2000+"
130,"CA","US","disk",30,"Unidentified Disc in plain sight, 1000 ft away, for 30 seconds","nautical dusk",33.61891,-117.92895,"America/Los_Angeles",87127,3,6,"1980-2000"
131,"CA","US","disk",120,"Disk-shaped object with red/blue/green lights flowing left to right that appeared to stop and become a horizontal bar of light.","night",37.44188,-122.14302,"America/Los_Angeles",66853,9,10,"2000+"
132,"FL","US","disk",600,"Sunny South West Florida","afternoon",26.96201,-82.3526,"America/New_York",14863,3,3,"2000+"
133,"ENG","GB","disk",120,"Thin wobbing disk traveling south east to north west","civil dusk",51.69353,-0.17835,"Europe/London",22639,42,6,"2000+"
134,"ENG","GB","disk",60,"Bright silver disc flying alongside Concorde, before flying off at extreme speed","afternoon",51.45625,-0.97113,"Europe/London",318014,239,6,"1980-2000"
135,"CA","US","disk",1,"ufo was captured during a family picture at the end of santa barbara pier.  ufo is present on the upper left corner.","afternoon",34.42083,-119.69819,"America/Los_Angeles",91842,15,1,"2000+"
136,"FL","US","disk",900,"Aircraft with multiple flashing lights hovering over the ocean with a beam shining on the water.","astronomical dawn",30.29469,-81.39314,"America/New_York",23064,3,1,"2000+"
137,"WA","US","disk",20,"We saw a dark flying object in the night sky.","night",47.61038,-122.20068,"America/Los_Angeles",139820,26,10,"2000+"
138,"CA","US","disk",120,"UFO SAUCER SHAPE SEEN HOVERING ON TOP OCEANSIDE ELEMETARY SCHOOL","afternoon",33.19587,-117.37948,"America/Los_Angeles",175691,20,6,"1980-2000"
139,"CA","US","disk",30,"Observed disk shaped craft with dome while traveling n/bound on 57 FWY.","morning",34.02862,-117.81034,"America/Los_Angeles",56897,212,11,"1980-2000"
140,"FL","US","disk",3600,"Craft hovered high in the atmosphere, changed colors or flashed lights. Red, White, Green Moving so slightly","night",25.77427,-80.19366,"America/New_York",441003,2,10,"2000+"
141,"BC","CA","disk",5,"White crescent 'disc' seen mid-day in cloudless sky.","afternoon",49.39539,-123.50555,"America/Vancouver",6821,25,7,"2000+"
142,"FL","US","disk",120,"Rotating Saucer Shaped Object with Multicolored Lights Flying Over Jacksonville","civil dusk",30.33218,-81.65565,"America/New_York",954614,5,6,"1960-1980"
143,"ENG","GB","disk",3,"https://www.youtube.com/watch?v=bmZ2bpJKXUI      11 minutes 8 seconds London Fireworks show  ((NUFORC Note:  Pigeons?  PD))","night",51.50853,-0.12574,"Europe/London",8961989,239,1,"2000+"
144,"TX","US","disk",900,"Slow moving huge saucer shaped craft flying over an Air Force Base.","afternoon",30.26715,-97.74306,"America/Chicago",931830,149,6,"1960-1980"
145,"TX","US","disk",120,"Bright silvery object that appeared to change back and forth from a tube to a saucer high above Austin, TX","afternoon",30.26715,-97.74306,"America/Chicago",931830,149,10,"2000+"
146,"NY","US","disk",5,"((HOAX))  I saw a strange whiteness in the sky which I tried to photograph, but got other photos instead.","civil dusk",40.71427,-74.00597,"America/New_York",8804190,10,8,"2000+"
147,"ENG","GB","disk",120,"flying saucer over waterloo bridge  london","afternoon",51.50853,-0.12574,"Europe/London",8961989,42,7,"1980-2000"
148,"WA","US","disk",300,"Yellow saucer seen over the water near Port Angeles    w a   with two photos.  ((NUFORC Note:  We believe a cloud formation.  PD))","afternoon",48.11815,-123.43074,"America/Los_Angeles",19448,22,2,"2000+"
149,"CA","US","disk",300,"We saw these white lights moving in a circular motion and couldn't believe our eyes.","astronomical dusk",37.70215,-121.93579,"America/Los_Angeles",57721,112,9,"2000+"
150,"FL","US","disk",20,"Three disc objects flying 30 k ft overhead.","morning",26.92978,-82.04537,"America/New_York",18150,1,3,"2000+"
151,"CA","US","disk",60,"I have an encounter for second time in a week, with a Disk giant that was flying in the sealing of the building with another like big l","night",33.83529,-117.9145,"America/Los_Angeles",350742,48,9,"2000+"
152,"WA","US","disk",30,"UFO briefly hovers over Seattle, then disappears in a straight upward movement.","night",47.60621,-122.33207,"America/Los_Angeles",737015,56,1,"2000+"
153,"WA","US","disk",8,"Saucer comming in for landing at tree top and I was allmost under it. aprox 250X35 the ship had two doors that was black in color the r","night",47.20316,-122.2404,"America/Los_Angeles",9700,23,1,"1980-2000"
154,"WA","US","disk",360,"Disc Shape. 3 witnesses. Flight was a little wobbly.","morning",47.48288,-122.21707,"America/Los_Angeles",100242,12,6,"1980-2000"
155,"FL","US","disk",120,"Look up in sky was disc object loud humming sound had yellow lights circulating around it was moving away from us at slow rate of speed","night",28.80055,-81.27312,"America/New_York",58111,9,11,"2000+"
156,"CA","US","disk",120,"Pitch black disk shaped object in broad daylight. 4 witnesses","morning",38.44047,-122.71443,"America/Los_Angeles",174972,50,8,"1980-2000"
157,"FL","US","disk",300,"Flying Disk seen in Fl Panhandle","afternoon",30.77436,-85.22687,"America/Chicago",9100,51,10,"1960-1980"
158,"TX","US","disk",20,"Silver saucer object hovering on hill","afternoon",30.75824,-98.22836,"America/Chicago",6239,392,10,"1980-2000"
159,"TX","US","disk",120,"Extreme large, very bright orb gave off no light to anything else, observed in texas.","night",29.76328,-95.36327,"America/Chicago",2304580,12,9,"2000+"
160,"TX","US","disk",180,"I fulfilled my duty by passing on an unusual accourance","night",29.76328,-95.36327,"America/Chicago",2304580,12,6,"-1960"
161,"CA","US","disk",60,"A disk-like object  viewed over Santa Monica, CA.","afternoon",34.01949,-118.49138,"America/Los_Angeles",93220,32,5,"2000+"
162,"CA","US","disk",60,"(DAUGHTER)Tonight May 26, 2007 on Orange Drive in Vacaville at approximately 9:40 pm, my mother and I spotted a UFO.  The object was sa","astronomical dusk",38.35658,-121.98774,"America/Los_Angeles",96803,53,5,"2000+"
163,"CA","US","disk",240,"Bright orange sphere seen over El Capitan State Beach 8/7/12","astronomical dusk",34.43583,-119.82764,"America/Los_Angeles",30944,6,8,"2000+"
164,"CA","US","disk",1200,"My Father and I watched a silver object, shaped like a diamond on its side.  It hovered overhead then slowly moved to the right, then d","afternoon",33.98168,-118.22507,"America/Los_Angeles",59430,52,12,"1960-1980"
