"Plant Name, Unit Number",NRC Region,Type,Architect-Engineer,Construction Permit Issued,Commercial Operation Start,Licensed Megawatts,Capacity Factor 2014
"Perry Nuclear Power Plant, Unit 1",NC,BWR,GIL,1977,1987,3758,0.96
Pilgrim Nuclear Power Station,NE,BWR,BECH,1968,1972,2028,0.97
"Point Beach Nuclear Plant, Unit 1",NC,PWR,BECH,1967,1970,1800,0.9
"Point Beach Nuclear Plant, Unit 2",NC,PWR,BECH,1968,1972,1800,0.9
"Prairie Island Nuclear Generating Plant, Unit 1",NC,PWR,FLUR,1968,1973,1677,0.84
"Prairie Island Nuclear Generating Plant, Unit 2",NC,PWR,FLUR,1968,1974,1677,1.01
"Quad Cities Nuclear Power Station, Unit 1",NC,BWR,S&L,1967,1973,2957,1.03
"Quad Cities Nuclear Power Station, Unit 2",NC,BWR,S&L,1967,1973,2957,0.9
R.E. Ginna Nuclear Power Plant,NE,PWR,GIL,1966,1970,1775,0.91
"River Bend Station, Unit 1",W,BWR,S&W,1977,1986,3091,0.96
"St. Lucie Plant, Unit 1",SE,PWR,EBSO,1970,1976,3020,1.01
"St. Lucie Plant, Unit 2",SE,PWR,EBSO,1977,1983,3020,0.82
"Salem Nuclear Generating Station, Unit 1",NE,PWR,PSEG,1968,1977,3459,0.86
"Salem Nuclear Generating Station, Unit 2",NE,PWR,PSEG,1968,1981,3459,0.73
"Seabrook Station, Unit 1",NE,PWR,UE&C,1976,1990,3648,0.93
"Sequoyah Nuclear Plant, Unit 1",SE,PWR,TVA,1970,1981,3455,1
"Sequoyah Nuclear Plant, Unit 2",SE,PWR,TVA,1970,1982,3455,0.9
"Shearon Harris Nuclear Power Plant, Unit 1",SE,PWR,EBSO,1978,1987,2900,0.99
"South Texas Project, Unit 1",W,PWR,BECH,1975,1988,3853,0.81
"South Texas Project, Unit 2",W,PWR,BECH,1975,1989,3853,1.03
"Surry Power Station, Unit 1",SE,PWR,S&W,1968,1972,2587,0.99
"Surry Power Station, Unit 2",SE,PWR,S&W,1968,1973,2587,0.95
"Susquehanna Steam Electric Station, Unit 1",NE,BWR,BECH,1973,1983,3952,0.83
"Susquehanna Steam Electric Station, Unit 2",NE,BWR,BECH,1973,1985,3952,0.88
"Three Mile Island Nuclear Station, Unit 1",NE,PWR,GIL,1968,1974,2568,1.04
Turkey Point Nuclear Generating Unit No. 3,SE,PWR,BECH,1967,1972,2644,0.84
Turkey Point Nuclear Generating Unit No. 4,SE,PWR,BECH,1967,1973,2644,0.88
"Virgil C. Summer Nuclear Station, Unit 1",SE,PWR,GIL,1973,1984,2900,0.81
"Vogtle Electric Generating Plant, Unit 1",SE,PWR,SBEC,1974,1987,3625.6,0.87
"Vogtle Electric Generating Plant, Unit 2",SE,PWR,SBEC,1974,1989,3625.6,0.92
"Waterford Steam Electric Station, Unit 3",W,PWR,EBSO,1974,1985,3716,0.9
"Watts Bar Nuclear Plant, Unit 1",SE,PWR,TVA,1973,1996,3459,0.89
"Watts Bar Nuclear Plant, Unit 2",SE,PWR,TVA,1973,,3411,
"Wolf Creek Generating Station, Unit 1",W,PWR,BECH,1977,1985,3565,0.83
