"spam","to_multiple","from","cc","sent_email","time","image","attach","dollar","winner","inherit","viagra","password","num_char","line_breaks","format","re_subj","exclaim_subj","urgent_subj","exclaim_mess","number"
"Not Spam","0","1",0,"0",2012-01-03 15:48:40,0,0,0,"no",0,0,0,2.938,81,"HTML","1",0,"0",4,"small"
"Not Spam","0","1",0,"0",2012-01-03 13:51:16,0,0,2,"no",0,0,0,4.103,173,"HTML","0",0,"0",0,"small"
"Not Spam","0","1",0,"1",2012-01-03 13:19:04,0,0,0,"no",0,0,0,0.599,16,"HTML","0",0,"0",0,"none"
"Not Spam","0","1",3,"0",2012-01-03 16:19:37,0,1,0,"no",0,0,0,3.485,108,"Text","1",0,"0",0,"small"
"Not Spam","1","1",1,"0",2012-01-03 16:34:13,0,0,0,"no",0,0,0,4.512,107,"HTML","0",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-03 16:40:07,1,1,9,"no",0,0,0,4.761,151,"HTML","0",0,"0",1,"big"
"Not Spam","1","1",0,"1",2012-01-03 14:57:27,0,0,0,"no",0,0,0,0.64,19,"HTML","0",0,"0",0,"none"
"Not Spam","0","1",0,"0",2012-01-03 18:06:48,0,0,0,"no",0,0,0,4.04,76,"HTML","0",0,"0",4,"small"
"Not Spam","0","1",1,"1",2012-01-03 18:36:42,0,0,0,"no",0,0,0,1.401,41,"HTML","1",0,"0",0,"small"
"Not Spam","0","1",3,"1",2012-01-03 18:38:31,0,0,0,"no",0,0,0,9.273,248,"HTML","1",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-03 18:40:26,0,0,0,"no",0,0,2,89.27,1582,"HTML","0",0,"0",139,"big"
"Not Spam","1","1",0,"1",2012-01-03 18:01:24,0,0,0,"no",0,0,0,1.389,37,"HTML","0",1,"0",8,"small"
"Not Spam","0","1",0,"0",2012-01-04 00:07:04,0,0,6,"no",0,0,0,8.475,279,"HTML","0",0,"0",2,"small"
"Not Spam","0","1",2,"1",2012-01-03 21:21:48,1,1,0,"no",0,0,0,0.623,17,"HTML","1",0,"0",4,"big"
"Not Spam","0","1",1,"1",2012-01-03 21:45:00,0,0,0,"no",0,0,0,1.132,33,"HTML","1",0,"0",4,"small"
"Not Spam","0","1",1,"1",2012-01-03 22:11:48,0,0,0,"no",0,0,0,2.753,68,"HTML","1",1,"0",16,"small"
"Not Spam","0","1",0,"1",2012-01-03 22:34:24,0,0,2,"no",0,0,0,6.133,143,"HTML","1",0,"0",0,"small"
"Not Spam","0","1",0,"1",2012-01-03 23:22:29,0,0,0,"no",0,0,0,1.589,38,"HTML","1",0,"0",0,"small"
"Not Spam","0","1",0,"1",2012-01-04 00:09:10,0,0,0,"no",0,0,0,0.932,21,"HTML","0",0,"0",2,"none"
"Not Spam","0","1",0,"0",2012-01-03 21:13:02,0,0,0,"no",0,0,0,8.756,145,"HTML","0",0,"0",1,"small"
"Not Spam","0","1",0,"0",2012-01-04 08:01:52,0,0,0,"no",0,0,0,3.621,82,"HTML","0",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-04 11:51:48,0,1,0,"no",0,0,0,10.398,130,"HTML","0",0,"0",2,"small"
"Not Spam","0","1",0,"0",2012-01-04 11:49:52,0,0,0,"no",0,0,0,2.454,61,"Text","0",0,"0",1,"small"
"Not Spam","0","1",0,"1",2012-01-04 07:03:37,0,1,0,"no",0,0,0,0.347,18,"Text","0",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-04 07:16:12,0,0,20,"no",0,0,0,17.405,233,"HTML","0",0,"0",18,"small"
"Not Spam","0","1",0,"0",2012-01-04 07:21:20,0,0,0,"no",0,0,0,10.952,309,"HTML","0",0,"0",3,"big"
"Not Spam","0","1",0,"0",2012-01-04 12:27:36,0,0,0,"no",0,0,0,15.829,242,"HTML","0",0,"0",4,"small"
"Not Spam","1","1",1,"0",2012-01-04 07:24:39,0,0,0,"no",0,0,0,2.927,74,"Text","1",0,"0",1,"small"
"Not Spam","1","1",1,"0",2012-01-04 08:09:29,0,0,0,"no",0,0,0,15.038,297,"HTML","1",0,"0",4,"big"
"Not Spam","1","1",0,"1",2012-01-04 07:31:02,0,0,2,"no",0,0,0,2.404,75,"HTML","0",0,"0",4,"small"
"Not Spam","0","1",6,"1",2012-01-04 07:39:30,0,0,2,"no",0,0,0,4.373,120,"HTML","1",0,"0",7,"small"
"Not Spam","0","1",0,"1",2012-01-04 15:03:40,0,0,0,"no",0,0,0,4.995,130,"HTML","1",0,"0",8,"small"
"Not Spam","1","1",4,"0",2012-01-04 09:04:49,0,0,0,"no",0,0,0,4.337,94,"Text","1",0,"0",1,"small"
"Not Spam","0","1",5,"0",2012-01-04 09:20:40,0,0,0,"no",0,0,0,4.736,109,"Text","1",0,"0",2,"small"
"Not Spam","0","1",0,"0",2012-01-04 10:01:13,0,0,0,"no",0,0,0,3.215,183,"HTML","0",0,"0",0,"big"
"Not Spam","0","1",0,"1",2012-01-04 07:03:05,0,0,0,"no",0,0,0,16.51,394,"HTML","1",0,"0",8,"small"
"Not Spam","0","1",0,"0",2012-01-04 07:15:49,0,0,0,"no",0,0,0,6.717,114,"HTML","0",0,"0",1,"small"
"Not Spam","0","1",0,"1",2012-01-04 07:19:16,0,0,0,"no",0,0,0,21.705,551,"HTML","1",0,"0",8,"small"
"Not Spam","0","1",0,"1",2012-01-04 07:40:12,0,0,0,"no",0,0,0,27.071,721,"HTML","1",0,"0",10,"small"
"Not Spam","0","1",1,"0",2012-01-04 10:58:32,0,0,0,"no",0,0,0,6.056,141,"Text","1",0,"0",3,"small"
"Not Spam","0","1",0,"0",2012-01-04 11:54:46,0,0,0,"no",0,0,0,1.653,25,"HTML","0",0,"0",0,"small"
"Not Spam","0","1",0,"1",2012-01-04 09:10:01,0,0,0,"no",0,0,0,31.112,875,"HTML","1",0,"0",16,"small"
"Not Spam","0","1",0,"1",2012-01-04 11:15:36,0,0,0,"no",0,0,0,7.193,148,"HTML","1",0,"0",10,"small"
"Not Spam","0","1",2,"1",2012-01-04 12:16:21,0,0,0,"no",0,0,0,6.264,135,"HTML","1",0,"0",4,"big"
"Not Spam","0","1",0,"1",2012-01-04 12:49:54,0,0,0,"no",0,0,0,12.862,333,"HTML","1",0,"0",4,"small"
"Not Spam","0","1",1,"1",2012-01-04 18:10:53,0,0,0,"no",0,0,0,7.861,242,"HTML","1",0,"0",7,"small"
"Not Spam","0","1",0,"1",2012-01-04 13:17:16,0,0,0,"no",0,0,0,17.06,426,"HTML","1",0,"0",8,"small"
"Not Spam","1","1",0,"1",2012-01-04 13:27:31,0,0,0,"no",0,0,0,5.887,89,"Text","0",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-04 14:19:00,0,0,0,"no",0,0,0,23.172,456,"HTML","0",0,"0",57,"small"
"Not Spam","0","1",0,"0",2012-01-04 14:48:03,0,0,0,"no",0,0,0,8.544,172,"HTML","0",0,"0",2,"big"
"Not Spam","0","1",0,"0",2012-01-04 19:59:27,0,0,4,"no",0,0,0,1.041,31,"Text","0",0,"0",2,"small"
"Not Spam","0","1",0,"0",2012-01-04 20:03:44,0,0,4,"no",0,0,0,1.041,31,"Text","0",0,"0",2,"small"
"Not Spam","0","1",0,"0",2012-01-04 20:04:18,0,0,5,"no",0,0,1,17.853,345,"HTML","0",1,"0",18,"small"
"Not Spam","0","1",0,"0",2012-01-04 20:04:41,0,0,5,"no",0,0,1,17.853,345,"HTML","0",1,"0",18,"small"
"Not Spam","0","1",0,"0",2012-01-04 20:20:13,0,0,0,"no",0,0,0,24.202,680,"HTML","0",0,"0",4,"small"
"Not Spam","1","1",0,"0",2012-01-04 15:49:46,0,0,0,"no",0,0,0,8.347,202,"HTML","0",0,"0",5,"big"
"Not Spam","0","1",0,"1",2012-01-04 15:23:47,0,0,0,"no",0,0,0,44.591,1307,"HTML","0",0,"0",36,"big"
"Not Spam","0","1",0,"1",2012-01-04 16:37:49,0,0,0,"no",0,0,0,9.374,252,"HTML","1",0,"0",2,"big"
"Not Spam","0","1",0,"0",2012-01-04 14:45:31,0,0,0,"no",0,0,0,3.416,57,"HTML","0",0,"0",0,"big"
"Not Spam","0","1",0,"1",2012-01-04 14:50:45,0,0,8,"no",0,0,0,11.615,210,"HTML","1",0,"0",4,"small"
"Not Spam","0","1",4,"1",2012-01-04 18:42:54,0,0,2,"no",0,0,0,4.01,118,"HTML","1",0,"0",6,"small"
"Not Spam","1","1",0,"0",2012-01-04 17:31:22,0,0,0,"no",0,0,0,9.816,130,"Text","0",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-04 17:05:29,0,0,7,"no",0,0,0,10.996,213,"HTML","0",0,"0",5,"big"
"Not Spam","0","1",0,"0",2012-01-04 20:00:07,0,0,0,"no",0,0,0,6.39,154,"HTML","0",1,"0",0,"none"
"Not Spam","0","1",0,"0",2012-01-04 22:29:50,0,0,22,"no",0,0,0,20.191,266,"HTML","0",1,"0",30,"small"
"Not Spam","1","1",0,"1",2012-01-04 22:22:04,20,20,0,"no",0,0,0,21.634,691,"HTML","0",0,"0",15,"big"
"Not Spam","1","1",0,"1",2012-01-04 22:24:36,0,0,0,"no",0,0,0,9.754,327,"HTML","0",0,"0",9,"big"
"Not Spam","0","1",0,"0",2012-01-05 02:27:33,0,0,0,"no",0,0,2,10.366,198,"HTML","0",0,"0",1,"big"
"Not Spam","0","1",0,"0",2012-01-05 10:06:40,0,0,4,"no",1,0,0,7.764,192,"HTML","0",0,"0",6,"small"
"Not Spam","0","1",0,"0",2012-01-05 03:41:12,0,0,0,"no",0,0,0,13.437,255,"HTML","0",0,"0",45,"small"
"Not Spam","0","1",0,"1",2012-01-05 07:38:26,0,0,0,"no",0,0,0,3.186,67,"HTML","1",0,"0",0,"small"
"Not Spam","1","1",0,"1",2012-01-05 07:56:10,0,0,0,"no",0,0,0,17.835,568,"HTML","1",0,"0",11,"big"
"Not Spam","1","1",0,"0",2012-01-05 09:01:14,1,1,0,"no",0,0,0,5.159,82,"Text","0",0,"0",0,"small"
"Not Spam","0","1",7,"1",2012-01-05 08:25:33,0,0,0,"no",0,0,0,9.871,340,"HTML","0",0,"0",11,"big"
"Not Spam","0","1",0,"0",2012-01-05 06:25:02,0,0,0,"no",0,0,0,6.19,126,"HTML","0",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-05 09:44:29,0,0,0,"no",0,0,0,8.768,152,"HTML","0",0,"0",4,"small"
"Not Spam","0","1",0,"0",2012-01-05 15:06:31,0,0,6,"no",0,0,0,1.594,51,"Text","0",1,"0",0,"small"
"Not Spam","0","1",6,"0",2012-01-05 10:47:46,0,0,0,"no",0,0,0,14.345,303,"HTML","1",0,"0",4,"big"
"Not Spam","0","1",0,"1",2012-01-05 11:24:00,0,0,0,"no",0,0,0,0.342,11,"Text","1",0,"0",0,"small"
"Not Spam","0","1",0,"1",2012-01-05 12:12:10,0,0,0,"no",0,0,0,6.64,99,"Text","1",0,"0",3,"small"
"Not Spam","0","1",0,"0",2012-01-05 12:32:25,0,0,8,"no",0,0,0,10.366,177,"HTML","0",1,"0",12,"small"
"Not Spam","0","1",0,"1",2012-01-05 13:07:23,0,0,0,"no",0,0,0,12.374,190,"Text","1",0,"0",5,"small"
"Not Spam","0","1",0,"1",2012-01-05 13:09:50,0,0,0,"no",0,0,0,16.689,254,"Text","1",0,"0",5,"small"
"Not Spam","0","1",1,"1",2012-01-03 13:39:06,0,0,0,"no",0,0,8,4.945,120,"HTML","0",0,"0",2,"small"
"Not Spam","0","1",0,"0",2012-01-04 13:24:30,0,0,0,"no",0,0,0,1.384,27,"HTML","0",0,"0",2,"small"
"Not Spam","0","1",1,"1",2012-01-04 18:58:22,0,0,0,"no",0,0,0,0.958,20,"HTML","0",1,"0",4,"none"
"Not Spam","0","1",0,"1",2012-01-05 09:21:00,0,0,0,"no",0,0,0,3.492,75,"HTML","1",0,"0",2,"small"
"Not Spam","1","1",0,"1",2012-01-05 17:51:09,0,1,0,"no",0,0,0,5.834,127,"HTML","0",0,"0",5,"small"
"Not Spam","1","1",0,"1",2012-01-05 10:24:47,0,0,0,"no",0,0,0,2.71,74,"HTML","0",0,"0",0,"small"
"Not Spam","0","1",1,"1",2012-01-05 13:49:53,0,0,0,"no",0,0,0,3.231,91,"HTML","1",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-05 15:42:02,0,0,0,"no",0,0,0,3.717,72,"HTML","0",0,"0",0,"small"
"Not Spam","0","1",1,"1",2012-01-05 14:34:21,0,0,0,"no",0,0,0,33.748,815,"HTML","1",0,"0",71,"big"
"Not Spam","1","1",0,"0",2012-01-05 15:03:57,0,0,0,"no",0,0,0,2.93,45,"Text","0",1,"0",3,"small"
"Not Spam","1","1",0,"0",2012-01-05 15:04:09,0,0,0,"no",0,0,0,8.014,113,"Text","0",0,"0",0,"small"
"Not Spam","1","1",35,"0",2012-01-05 14:04:44,0,0,0,"no",0,0,0,4.462,85,"Text","0",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-05 15:19:40,0,0,2,"no",0,0,0,26.777,435,"HTML","0",1,"0",7,"small"
"Not Spam","0","1",0,"0",2012-01-05 21:00:28,0,0,0,"no",0,0,0,17.292,390,"HTML","0",0,"0",29,"small"
"Not Spam","0","1",0,"0",2012-01-05 21:08:08,0,0,0,"no",0,0,0,10.004,197,"HTML","0",0,"0",0,"big"
"Not Spam","0","1",0,"0",2012-01-05 16:00:33,0,0,8,"no",0,0,0,101.727,2189,"HTML","0",0,"0",23,"small"
"Not Spam","0","1",1,"1",2012-01-05 16:19:25,0,0,0,"no",0,0,0,4.823,135,"HTML","1",0,"0",0,"small"
"Not Spam","0","1",0,"1",2012-01-05 19:23:11,0,0,2,"no",0,0,0,3.21,77,"HTML","1",0,"0",0,"small"
"Not Spam","0","1",1,"1",2012-01-05 19:41:11,0,0,0,"no",0,0,0,3.334,73,"HTML","1",1,"0",12,"small"
"Not Spam","0","1",0,"0",2012-01-05 14:15:32,0,0,0,"no",0,0,2,1.501,45,"HTML","0",0,"0",1,"small"
"Not Spam","0","1",0,"0",2012-01-05 22:00:13,0,0,0,"no",0,0,2,10.366,198,"HTML","0",0,"0",1,"big"
"Not Spam","0","1",0,"0",2012-01-05 23:29:35,0,0,12,"no",0,0,0,14.221,201,"HTML","0",0,"0",24,"small"
"Not Spam","0","1",0,"0",2012-01-06 07:22:34,0,0,0,"no",0,0,0,4.792,104,"HTML","0",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-06 07:49:12,0,0,4,"no",0,0,0,49.042,828,"HTML","0",0,"0",1,"small"
"Not Spam","0","1",0,"0",2012-01-06 03:58:25,1,1,0,"no",0,0,0,7.974,104,"Text","0",0,"0",0,"none"
"Not Spam","0","1",0,"0",2012-01-06 10:03:30,0,0,4,"no",1,0,0,7.734,192,"HTML","0",0,"0",6,"small"
"Not Spam","0","1",0,"0",2012-01-06 03:42:11,0,0,0,"no",0,0,0,13.484,255,"HTML","0",0,"0",45,"small"
"Not Spam","1","1",0,"0",2012-01-05 15:28:45,0,0,0,"no",0,0,0,2.881,50,"Text","0",0,"0",0,"small"
"Not Spam","1","1",0,"0",2012-01-06 08:45:02,0,0,0,"no",0,0,0,3.943,47,"Text","0",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-06 10:28:38,0,0,2,"no",0,0,0,22.344,411,"HTML","0",0,"0",49,"small"
"Not Spam","0","1",0,"0",2012-01-06 11:53:39,0,0,10,"no",0,0,0,8.666,145,"HTML","0",1,"0",8,"small"
"Not Spam","0","1",0,"0",2012-01-06 09:57:55,0,0,0,"no",0,0,0,5.066,106,"HTML","0",1,"0",0,"small"
"Not Spam","1","1",0,"0",2012-01-06 14:14:47,0,0,0,"no",0,0,0,4.415,61,"Text","0",0,"0",1,"small"
"Not Spam","0","1",0,"1",2012-01-06 15:09:22,0,0,0,"no",0,0,0,2.174,49,"HTML","1",0,"0",2,"small"
"Not Spam","0","1",0,"1",2012-01-06 15:10:25,0,0,0,"no",0,0,0,0.368,12,"HTML","0",0,"0",0,"small"
"Not Spam","0","1",0,"1",2012-01-06 15:18:13,0,0,0,"no",0,0,0,1.567,48,"HTML","1",0,"0",0,"small"
"Not Spam","0","1",0,"1",2012-01-06 15:19:45,0,0,0,"no",0,0,0,1.16,34,"HTML","1",0,"0",0,"small"
"Not Spam","0","1",0,"0",2012-01-06 20:21:50,0,0,0,"no",0,0,0,3.271,64,"HTML","0",0,"0",4,"none"
"Not Spam","0","1",0,"0",2012-01-06 15:22:02,0,0,0,"no",0,0,2,10.366,198,"HTML","0",0,"0",1,"big"
"Not Spam","0","1",0,"1",2012-01-06 15:36:01,0,0,0,"no",0,0,0,0.441,16,"HTML","1",0,"0",0,"small"
"Not Spam","0","1",0,"1",2012-01-06 15:40:12,0,0,0,"no",0,0,0,0.122,7,"Text","1",0,"0",0,"small"
"Not Spam","1","1",0,"0",2012-01-06 16:14:50,0,0,0,"no",0,0,0,9.961,210,"HTML","0",0,"0",0,"big"
"Not Spam","0","1",0,"0",2012-01-06 13:41:32,0,0,0,"no",0,0,0,3.872,89,"HTML","0",0,"0",0,"big"
